"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
34.250,0.29,0.13,-0.52
34.300,0.30,0.09,-0.87
34.350,0.30,0.03,-1.09
34.400,0.30,-0.03,-1.11
34.450,0.30,-0.08,-0.92
34.500,0.29,-0.13,-0.55
34.550,0.28,-0.14,-0.10
34.600,0.28,-0.14,0.35
34.650,0.27,-0.11,0.76
34.700,0.26,-0.06,1.03
34.750,0.26,0.01,1.10
34.800,0.27,0.06,0.97
34.850,0.27,0.11,0.68
34.900,0.28,0.13,0.29
34.950,0.28,0.14,-0.14
35.000,0.29,0.12,-0.54
35.050,0.30,0.08,-0.83
35.100,0.30,0.03,-0.98
35.150,0.30,-0.02,-1.02
35.200,0.30,-0.07,-0.92
35.250,0.29,-0.12,-0.63
35.300,0.28,-0.15,-0.16
35.350,0.28,-0.14,0.35
35.400,0.27,-0.11,0.77
35.450,0.27,-0.06,1.02
35.500,0.26,7.80E-4,1.11
35.550,0.27,0.06,1.01
35.600,0.27,0.11,0.71
35.650,0.28,0.14,0.27
35.700,0.29,0.14,-0.23
35.750,0.29,0.11,-0.66
35.800,0.30,0.07,-0.91
35.850,0.30,0.01,-0.95
35.900,0.30,-0.03,-0.88
35.950,0.29,-0.07,-0.78
36.000,0.29,-0.11,-0.54
36.050,0.28,-0.14,-0.10
36.100,0.28,-0.13,0.41
36.150,0.27,-0.09,0.77
36.200,0.27,-0.04,0.95
36.250,0.26,0.01,1.04
36.300,0.27,0.06,0.98
36.350,0.27,0.12,0.69
36.400,0.28,0.14,0.20
36.450,0.29,0.14,-0.34
36.500,0.29,0.11,-0.74
36.550,0.30,0.05,-0.99
36.600,0.30,9.80E-4,-1.03
36.650,0.30,-0.06,-0.90
36.700,0.29,-0.09,-0.61
36.750,0.29,-0.12,-0.24
36.800,0.28,-0.12,0.11
36.850,0.27,-0.10,0.39
36.900,0.27,-0.08,0.62
36.950,0.27,-0.04,0.86
37.000,0.27,0.01,1.00
37.050,0.27,0.07,0.91
37.100,0.27,0.11,0.59
37.150,0.28,0.13,0.16
37.200,0.29,0.13,-0.25
37.250,0.29,0.10,-0.63
37.300,0.30,0.06,-0.89
37.350,0.30,0.01,-1.00
37.400,0.30,-0.05,-0.90
37.450,0.29,-0.09,-0.65
37.500,0.29,-0.11,-0.34
37.550,0.28,-0.12,-0.02
37.600,0.28,-0.12,0.34
37.650,0.27,-0.09,0.77
37.700,0.27,-0.04,1.07
37.750,0.27,0.03,1.08
37.800,0.27,0.08,0.85
37.850,0.27,0.11,0.52
37.900,0.28,0.13,0.15
37.950,0.29,0.13,-0.29
38.000,0.30,0.11,-0.73
38.050,0.30,0.05,-1.03
38.100,0.30,-0.01,-1.09
38.150,0.30,-0.06,-0.91
38.200,0.29,-0.11,-0.60
38.250,0.29,-0.12,-0.24
38.300,0.28,-0.13,0.16
38.350,0.27,-0.11,0.53
38.400,0.27,-0.07,0.83
38.450,0.27,-0.02,0.96
38.500,0.27,0.03,0.92
38.550,0.27,0.07,0.75
38.600,0.27,0.11,0.48
38.650,0.28,0.13,0.10
38.700,0.29,0.12,-0.35
38.750,0.29,0.09,-0.75
38.800,0.30,0.04,-0.97
38.850,0.30,-0.01,-0.93
38.900,0.30,-0.06,-0.72
38.950,0.29,-0.09,-0.48
39.000,0.29,-0.11,-0.25
39.050,0.28,-0.12,0.03
39.100,0.27,-0.11,0.44
39.150,0.27,-0.07,0.81
39.200,0.27,-0.02,0.98
39.250,0.27,0.03,0.93
39.300,0.27,0.08,0.72
39.350,0.27,0.11,0.44
39.400,0.28,0.13,0.05
39.450,0.29,0.12,-0.37
39.500,0.29,0.09,-0.70
39.550,0.30,0.04,-0.88
39.600,0.30,-0.01,-0.95
39.650,0.30,-0.06,-0.90
39.700,0.29,-0.11,-0.67
39.750,0.28,-0.13,-0.21
39.800,0.28,-0.13,0.30
39.850,0.27,-0.09,0.69
39.900,0.27,-0.05,0.88
39.950,0.27,0.00,0.94
40.000,0.27,0.04,0.90
